uniprot_id
A0A0D6GJV1
A0A0H3JUJ1
A0A0X1KGP2
A0A6L7H7X4
A3TMR7
A4X3Q0
A5Z657
A9ERX9
A9KN57
B1MD73
B5ABT1
C4L2G9
E0XN39
F0QXN6
F1Q9N9
I3DZK9
M1MR49
O05858
O06644
O14965
O15118
O15540
O24782
O28511
O33839
O34002
O43617
O55013
O57883
O58836
O59952
O67224
O67575
O67648
O75908
O76054
O95445
O95477
P00592
P02689
P02693
P02753
P02754
P02768
P04117
P05108
P05413
P07097
P07949
P0A0N2
P0ABP9
P0AE22
P0AGF4
P0CD76
P10384
P11309
P15570
P18886
P19656
P21589
P22059
P23141
P24627
P29724
P30419
P30519
P35398
P35557
P35610
P35844
P41222
P41235
P51449
P55263
P56726
P60033
P62694
P83812
P90551
P9WH69
P9WJY9
P9WLZ7
P9WM67
P9WMU9
P9WPE1
P9WPF1
Q07524
Q07869
Q0GY13
Q0IQK9
Q12053
Q14108
Q14541
Q17427
Q1D4I1
Q3MHW7
Q47764
Q54764
Q5KW80
Q61115
Q6CUK7
Q6SVB6
Q6T3U3
Q7PXT9
Q7SI98
Q86PR3
Q8D072
Q8DWA2
Q8NN60
Q8NWR0
Q8PDX2
Q8TZR3
Q94BU8
Q96EK6
Q96Y14
Q973T5
Q99835
Q9BV23
Q9BXW6
Q9C8L2
Q9GK12
Q9H222
Q9H227
Q9I4H2
Q9IAT9
Q9KJG6
Q9RTS8
Q9SPP9
Q9U9J6
Q9UHC9
Q9WTR1
Q9X1H9
Q9XEI3
Q9Y8P1
Q9ZB17
W0W999
W5JXD9
W8QN64
P0ABE7
Q8RBX6
S4UX02
Q0QF01
P29476
P80043
P00183
P08684
B3LRE1
Q8ZNR5
P02185
