condition,threshold,mean_split_f1,std_split_f1
exp018_shape3_shape6_shell6,0.5300000000000002,0.9023882974876605,0.018479156483222473
exp019_five_way,0.5400000000000003,0.905422730082934,0.01726895725192233
exp020_shell6_chem_equal,0.5100000000000002,0.9035703692193272,0.01692513634464339
exp021_shell6_chem_20_80,0.5200000000000002,0.9036242479412404,0.018245536053138958
