holdout,component,fn_mean_p,tp_mean_p,fn_rescue_rate_05,fn_rescue_rate_04,fn_rescue_rate_03
apo_pdb,shape3,0.27724567210046397,0.842777126698315,0.12903225806451613,0.3225806451612903,0.4838709677419355
apo_pdb,shape6,0.2569147738132386,0.8525987226845851,0.16129032258064516,0.22580645161290322,0.3548387096774194
apo_pdb,shell6_shape,0.34515324924253826,0.864348544581541,0.22580645161290322,0.45161290322580644,0.5483870967741935
apo_pdb,shell6_shape3,0.2324158962770936,0.8413544400003351,0.03225806451612903,0.1935483870967742,0.3548387096774194
apo_pdb,hydro4,0.22975085840575518,0.8177912210683442,0.06451612903225806,0.1935483870967742,0.3870967741935484
apo_pdb,geom,0.23176466558323872,0.7915075469289958,0.06451612903225806,0.12903225806451613,0.41935483870967744
apo_pdb,chem,0.2810279900065413,0.8672618587540152,0.22580645161290322,0.2903225806451613,0.4838709677419355
alphafold,shape3,0.3528190304787131,0.7777951778681559,0.25,0.4375,0.6041666666666666
alphafold,shape6,0.24952516421520463,0.7566384309469614,0.041666666666666664,0.20833333333333334,0.3125
alphafold,shell6_shape,0.33614519512654323,0.7819845943148572,0.1875,0.375,0.5833333333333334
alphafold,shell6_shape3,0.29459453984115197,0.7603658042133374,0.10416666666666667,0.25,0.5
alphafold,hydro4,0.25722396654843277,0.7518318181770832,0.041666666666666664,0.20833333333333334,0.375
alphafold,geom,0.23212679017160553,0.7059999295337083,0.0,0.10416666666666667,0.2916666666666667
alphafold,chem,0.3128407436161069,0.7876674711682595,0.20833333333333334,0.3125,0.5208333333333334
