holdout,row_index,exp019_p_lipid,best_component,best_component_p_lipid,p_shape3,p_shape6,p_shell6_shape,p_shell6_shape3,p_hydro4,p_geom,p_chem
apo_pdb,0,0.09507266487926246,shell6_shape,0.14302185364067554,0.1038689436390996,0.09231101628392935,0.14302185364067554,0.09761176723986864,0.07877212297171354,0.07595920749008656,0.13070921041071415
apo_pdb,1,0.33645445159636433,shell6_shape,0.49262587539851665,0.30053616140503436,0.27873306535184383,0.49262587539851665,0.28951525734737515,0.3614410478621721,0.3925516458693892,0.3600312415510416
apo_pdb,3,0.09861344043165444,shell6_shape,0.21544498950242996,0.10752319125458598,0.07725361874327064,0.21544498950242996,0.12987711420282722,0.07304537203162909,0.10335896397009492,0.10953213321045041
apo_pdb,4,0.09233944257721305,shell6_shape,0.15838201623409986,0.09406020538881421,0.0691041648387909,0.15838201623409986,0.08280821749940515,0.1290685199201107,0.09096057899296284,0.08975573163479567
apo_pdb,9,0.1403130226302892,shell6_shape3,0.21266670897603035,0.13370005204342306,0.08674829150550067,0.19858280173502862,0.21266670897603035,0.13898360962048173,0.14432414947077632,0.11884235357865691
apo_pdb,19,0.49142376482486716,shell6_shape,0.6493868827819824,0.43201010301709175,0.5077115222811699,0.6493868827819824,0.4628332909196615,0.5133833102881908,0.3791568111628294,0.5940338894724846
apo_pdb,22,0.41502008168026805,shape6,0.6158942356705666,0.5036555165424943,0.6158942356705666,0.5951847014948726,0.4756438094191253,0.334340862929821,0.21726238820701838,0.431959112174809
apo_pdb,27,0.36723667569458485,shell6_shape,0.6395614929497242,0.341241966933012,0.38367114774882793,0.6395614929497242,0.31719597056508064,0.4675314538180828,0.38114379718899727,0.2866410091519356
apo_pdb,29,0.21680542589165272,geom,0.3084726296365261,0.2483819229528308,0.20437506958842278,0.296317660715431,0.1590858604758978,0.13027868629433215,0.3084726296365261,0.2818148834630847
apo_pdb,36,0.12874023308977486,shape6,0.178491803817451,0.14830423751845956,0.178491803817451,0.12124721053987741,0.15951837319880724,0.12063752487301826,0.08488711947575212,0.10016634408384562
apo_pdb,41,0.41974236667156223,geom,0.5540620535612106,0.3589552380144596,0.2813204489648342,0.4864059202373028,0.4205749034881592,0.30984776094555855,0.5540620535612106,0.5329066663980484
apo_pdb,42,0.46571485605090857,shell6_shape,0.7196775991469622,0.5460695363581181,0.5166582195088267,0.7196775991469622,0.4043922144919634,0.4029940478503704,0.5028061736375093,0.501723624765873
apo_pdb,47,0.047645919118076564,shape3,0.08522978005930781,0.08522978005930781,0.049017526442185044,0.060700589325279,0.04179784655570984,0.04820852121338248,0.03820855123922229,0.06099715013988316
apo_pdb,49,0.08751468053087592,shell6_shape,0.2400768888182938,0.16570578841492534,0.07096431078389287,0.2400768888182938,0.08929410995915532,0.1047671907581389,0.06253670994192362,0.1100110812112689
apo_pdb,50,0.015234322124160826,shape3,0.028338567353785038,0.028338567353785038,0.015160392387770116,0.026224788860417902,0.016202618600800633,0.009938802337273955,0.018708999967202544,0.01616079732775688
apo_pdb,52,0.2989794485270977,shape3,0.4428370725363493,0.4428370725363493,0.2974471701309085,0.4353949474170804,0.25434616953134537,0.20539319422096014,0.3707579933106899,0.3669527154415846
apo_pdb,60,0.0600037608994171,shell6_shape,0.12005821597995237,0.05655248719267547,0.06204868946224451,0.12005821597995237,0.08159155654720962,0.06298393500037491,0.05160675966180861,0.04178786382544786
apo_pdb,63,0.0892841978929937,shape6,0.15421875566244125,0.05758906854316592,0.15421875566244125,0.14139714185148478,0.06282217847183347,0.06824049353599548,0.08920605527237058,0.07193350652232766
apo_pdb,64,0.46856067981570954,shape3,0.5969355255365372,0.5969355255365372,0.571044385433197,0.5271395854651928,0.40179045870900154,0.4188260920345783,0.360806324519217,0.590336138382554
apo_pdb,72,0.4647317763417959,shape3,0.614218533039093,0.614218533039093,0.49771801568567753,0.5753398686647415,0.5272378735244274,0.375560300424695,0.3643049765378237,0.558837715536356
apo_pdb,73,0.3987307174131274,hydro4,0.5330638568848372,0.4880734495818615,0.35275415051728487,0.4782386850565672,0.2968963794410229,0.5330638568848372,0.30896538496017456,0.5019738152623177
