holdout,status,n,mean_p_lipid,mean_dist_5,mean_dist_25,lipid_frac_5,lipid_frac_10,lipid_frac_25
alphafold,FN,48,0.26926224087850037,7.684640639023947,8.360697611173181,0.2791666666666667,0.2708333333333333,0.25333333333333335
alphafold,TP,43,0.7525006908078701,10.119272207740165,11.509957469569406,0.7116279069767443,0.7023255813953488,0.6409302325581394
apo_pdb,FN,31,0.24637483681717345,6.677256258669474,7.299703170657273,0.18709677419354842,0.19032258064516128,0.20774193548387102
apo_pdb,TP,36,0.8341027578872551,9.16551939315907,10.544662392948814,0.7166666666666668,0.6805555555555556,0.657777777777778
