holdout,true_lipids,tp,fn,mean_p_lipid_lipids,mean_p_lipid_tp,mean_p_lipid_fn,mean_p_lipid_nonlipids
apo_pdb,67,36,31,0.5621689436607996,0.8341027578872551,0.24637483681717345,0.22500838633975945
alphafold,91,43,48,0.497605684251719,0.7525006908078701,0.26926224087850037,0.15407392024379954
