components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shape6+shell6_shape3+hydro4+geom+chem,5,0.6837189494072448,0.029973173200167125,0.7780102570953514,0.017476019117144262,0.9060832740665877,0.015436778401231612,0.773065866816437,0.7139876485566785,0.6306451385540813,0.6554742513044158,0.6454218418046112,0.6486486486486487,0.7970149253731343,0.6231884057971014,0.863395225464191,0.6359185272228751,0.6231884057971014
shape3+shell6_shape+shell6_shape3+geom+chem,5,0.6828945469783478,0.030378310270338767,0.7774960752834603,0.016891701996328345,0.9041472321254562,0.016254799339034055,0.7712641817563675,0.7141415875156164,0.6239823435078011,0.6526662776225767,0.6524183444893776,0.6782608695652174,0.8014925373134328,0.6896551724137931,0.8632057597574839,0.6839580209895053,0.6782608695652174
shell6_shape3+hydro4+geom+chem,4,0.6823723792947776,0.02868115674905126,0.7765187976426908,0.018219749262439744,0.9048742178706618,0.014536481201553177,0.7744173747087586,0.7141013030655224,0.622869319436234,0.652344858144651,0.6481290411187216,0.6363636363636362,0.7985074626865671,0.6277372262773723,0.8673740053050397,0.6320504313205042,0.6277372262773723
shape3+shape6+shell6_shape3+geom,4,0.6823470869984856,0.030429681525924308,0.7779417179756304,0.01677299555112494,0.9048030396674391,0.015484671839218086,0.7680564681184064,0.7103479456579234,0.6330122322306053,0.6530966163541749,0.6472221726313175,0.6548672566371682,0.7964179104477611,0.6571428571428571,0.8649109511178477,0.6560050568900126,0.6548672566371682
shape3+shell6_shape3+hydro4+geom+chem,5,0.682336897668562,0.03000476117290734,0.7779567975283421,0.017412063235754848,0.9053006548170492,0.015158365400931262,0.7775012133098287,0.7122872859533351,0.6276736155408423,0.6492875464215522,0.644934827117252,0.6306306306306306,0.7997014925373135,0.6666666666666667,0.8662372110647973,0.6486486486486487,0.6306306306306306
shape3+shell6_shape+geom+chem,4,0.6819844899290272,0.029926864663387155,0.7781919122053749,0.01660860362376725,0.9048873871329249,0.015134481931186423,0.7685335653884051,0.7148716499795407,0.6209118441934666,0.6546886715418555,0.6509167185418678,0.6608695652173913,0.802089552238806,0.6805555555555556,0.8616900341038273,0.6707125603864734,0.6608695652173913
shape6+shell6_shape+shell6_shape3+hydro4+geom+chem,6,0.6818961137493089,0.03064361829127099,0.777191738833648,0.017138613318154184,0.9057967098182972,0.016489147547311272,0.7740436661471022,0.7133954947242575,0.6246190145075557,0.6476538046469128,0.6497685887207163,0.6666666666666666,0.8008955223880597,0.6428571428571429,0.8637741568776052,0.6547619047619048,0.6428571428571429
shape3+shell6_shape+shell6_shape3+hydro4+geom,5,0.6818926157260011,0.030359908132117443,0.7766440974611463,0.017305560424816714,0.9050324634639795,0.01580009298267112,0.7714203824619169,0.7131280900785416,0.6180517058714914,0.6503980207363227,0.656464879481733,0.6548672566371682,0.8023880597014925,0.6714285714285715,0.8637741568776052,0.6631479140328698,0.6548672566371682
shape3+shape6+shell6_shape3+hydro4+geom+chem,6,0.6818294335418025,0.030867649321888575,0.7777932460228903,0.01746238336395373,0.905703741226688,0.015358439488702812,0.7705383028521722,0.7114498174877822,0.6281702378718661,0.6527653821325692,0.646223427364623,0.6428571428571428,0.7988059701492537,0.6330935251798562,0.8641530882910193,0.6379753340184995,0.6330935251798562
shape3+shape6+shell6_shape3+geom+chem,5,0.6816003228321903,0.03158099725443801,0.7778021675748775,0.017338008090035443,0.9055594124081969,0.015391466264747288,0.7711575194917537,0.7120511476217444,0.6270806114865229,0.6524317304705579,0.6452806050903723,0.6666666666666666,0.797910447761194,0.6619718309859155,0.8632057597574839,0.664319248826291,0.6619718309859155
