threshold,binary_f1_mean,binary_f1_std,macro_f1_10_mean,macro_f1_lipid5_mean,fire_rate
0.5,0.8901051118060174,0.016486995988783185,0.7514209648374828,0.6524890798624138,0.10706964520367937
0.51,0.8901950314679588,0.016582812725739856,0.7518942443539316,0.6525310746130699,0.1043101182654402
0.52,0.8901950314679588,0.016582812725739856,0.7521418204161084,0.6525310746130699,0.10157687253613666
0.53,0.8902821191458392,0.016362279338939762,0.752525711371931,0.6526093218744158,0.09881734559789751
0.54,0.8904624632233555,0.01622888257228239,0.7530255589099211,0.6526969021977626,0.09639947437582129
0.55,0.8904624632233555,0.01622888257228239,0.753262640057578,0.6526969021977626,0.09371879106438896
0.56,0.8906395267514697,0.016069840972877916,0.7534234386811367,0.652794111977531,0.0914323258869908
0.57,0.8906395267514697,0.016069840972877916,0.7535524129431973,0.652794111977531,0.08893561103810775
0.58,0.8909061726629501,0.01590151721400828,0.7541244654415241,0.6529270037833917,0.08630749014454665
0.59,0.8909061726629501,0.01590151721400828,0.7543662523766451,0.6529270037833917,0.08446780551905388
0.6,0.8910838436401178,0.016025396932911627,0.7549316811237528,0.6531451924984225,0.08278580814717477
0.61,0.8914500612807348,0.016219218106448455,0.7552299730675079,0.6536154071796255,0.08057818659658345
0.62,0.8915409373258093,0.016220535297306132,0.755702482324341,0.6537086472728657,0.07789750328515112
0.63,0.8916307123662602,0.016145919033950327,0.7560302226055927,0.6537481490122888,0.07519053876478318
0.64,0.891720155275725,0.01609074704670296,0.7562923584215753,0.6537850003874414,0.0730880420499343
0.65,0.891720155275725,0.01609074704670296,0.7571435906227829,0.6537850003874414,0.07072273324572931
0.66,0.8918134423188968,0.016176777530292646,0.7576491898248509,0.6539328995471051,0.06798948751642575
0.67,0.8919936971619508,0.016102301466414184,0.7582676206419499,0.6542858407235758,0.06575558475689881
0.68,0.8920830260784655,0.01612886542854766,0.758331043945239,0.654387428025163,0.06370565045992116
0.69,0.8920830260784655,0.01612886542854766,0.7585279709034661,0.654387428025163,0.062076215505913274
0.7,0.8923472961864776,0.015934234251338487,0.7585996067152607,0.6546717302369461,0.06026281208935611
0.71,0.8925264105239564,0.01587983800749505,0.7588197201531364,0.6548746581414145,0.05813403416557161
0.72,0.8927100664242211,0.01607713246059444,0.7589203795927808,0.6550519741587307,0.0564257555847569
0.73,0.8927100664242211,0.01607713246059444,0.7590903684705923,0.6550519741587307,0.05471747700394218
0.74,0.8928881022011238,0.01606497984433678,0.7592698907309691,0.6551960438564397,0.05282522996057819
0.75,0.8931540918734763,0.015779189766046905,0.7595525303117918,0.6553589979673365,0.05098554533508541
0.76,0.8931540918734763,0.015779189766046905,0.7590871016096337,0.6553589979673365,0.04922470433639947
0.77,0.8934288200577011,0.01588882767674007,0.7594350937573345,0.6556455050041593,0.04770039421813403
0.78,0.8934288200577011,0.01588882767674007,0.7594618536857426,0.6556455050041593,0.04636005256241787
0.79,0.8936099145850642,0.0160567312993464,0.7596073997054877,0.6557715735199303,0.04478318002628121
0.8,0.8936979012280558,0.015832067900236443,0.7598582890346331,0.6558520564173146,0.0438107752956636
0.81,0.8937700548164423,0.015786264457596448,0.7601725259545526,0.6561183330072906,0.042260183968462546
0.82,0.8939296329098739,0.015700335104739067,0.7602851783290109,0.6562178508250222,0.04052562417871222
0.83,0.8941125326937598,0.015768074487634995,0.7604905018391911,0.6563293468009139,0.039369250985545334
0.84,0.8941125326937598,0.015768074487634995,0.7603655557878688,0.6563293468009139,0.03802890932982917
0.85,0.8943768038826982,0.015446586206368065,0.7609351315203599,0.6567045297985413,0.03668856767411301
0.86,0.8943577661250147,0.015258499910808803,0.7612617251147895,0.6570583909911122,0.03526938239159001
0.87,0.8944929480370273,0.015415475864028189,0.7614952805552244,0.6574176455923716,0.0340604467805519
0.88,0.8945591413388431,0.01564999939074317,0.7616876599832253,0.6576627824271075,0.032720105124835745
0.89,0.8945150250123294,0.0155998006865242,0.7616899403394722,0.6579479660940163,0.031038107752956637
0.9,0.8946938505696006,0.015422861398104958,0.7617297844429942,0.6582759518337667,0.029724047306176084
0.91,0.8952383770279378,0.015558819273478738,0.7620134039303147,0.6588492610584854,0.028173455978975033
0.92,0.8951908715257392,0.015630259921425606,0.7624724418545393,0.6592503770106107,0.02657030223390276
0.93,0.8954630777799539,0.015707876866525732,0.7628384458315267,0.6594310921562249,0.024914586070959265
0.94,0.8954964720610189,0.015821100590099838,0.762842265276112,0.6596454552253463,0.022943495400788435
0.95,0.895927801775112,0.016425338663798056,0.7632402617362268,0.6600884794775894,0.02128777923784494
0.96,0.8958792360966997,0.01646720315775891,0.7632194397300478,0.660284996353679,0.019553219448094614
0.97,0.8971492497645224,0.01615245475210947,0.7638743094095605,0.6613161896692893,0.01729303547963206
0.98,0.8975215447385296,0.016008932125613964,0.7645802665302984,0.6620346660590388,0.014612352168199737
0.99,0.8993108979615575,0.016076006556992224,0.7655000036524995,0.6639144618349917,0.010223390275952694
