threshold,binary_f1_mean,binary_f1_std,macro_f1_10_mean,macro_f1_lipid5_mean,fire_rate
0.5,0.899147324911386,0.017467271817862565,0.7600315186534939,0.6644589265049015,0.10706964520367937
0.51,0.8992399387067707,0.017571021452320073,0.7602966576586259,0.6645022813436111,0.1043101182654402
0.52,0.8992399387067707,0.017571021452320073,0.7605787308335995,0.6645022813436111,0.10157687253613666
0.53,0.8992399387067707,0.017571021452320073,0.7607329894438406,0.6645022813436111,0.09881734559789751
0.54,0.8992399387067707,0.017571021452320073,0.7609536377217946,0.6645022813436111,0.09639947437582129
0.55,0.8992399387067707,0.017571021452320073,0.7610995540332985,0.6645022813436111,0.09371879106438896
0.56,0.8992399387067707,0.017571021452320073,0.7609402834262821,0.6645022813436111,0.0914323258869908
0.57,0.8992399387067707,0.017571021452320073,0.7608802407336177,0.6645022813436111,0.08893561103810775
0.58,0.8992399387067707,0.017571021452320073,0.7608790115140595,0.6645022813436111,0.08630749014454665
0.59,0.8992399387067707,0.017571021452320073,0.7613104345945567,0.6645022813436111,0.08446780551905388
0.6,0.8993330214327648,0.01768690305238062,0.7616760212527047,0.6646426322208042,0.08278580814717477
0.61,0.8994274120464355,0.017796348002815397,0.7616010388397578,0.6648077115858836,0.08057818659658345
0.62,0.8994274120464355,0.017796348002815397,0.7620089683201285,0.6648077115858836,0.07789750328515112
0.63,0.8994274120464355,0.017796348002815397,0.7618631885354703,0.6648077115858836,0.07519053876478318
0.64,0.8994274120464355,0.017796348002815397,0.7619219205620369,0.6648077115858836,0.0730880420499343
0.65,0.8994274120464355,0.017796348002815397,0.762789745580515,0.6648077115858836,0.07072273324572931
0.66,0.8994274120464355,0.017796348002815397,0.7634964320092412,0.6648077115858836,0.06798948751642575
0.67,0.8994274120464355,0.017796348002815397,0.763976108764123,0.6648077115858836,0.06575558475689881
0.68,0.8994274120464355,0.017796348002815397,0.7637791243333112,0.6648077115858836,0.06370565045992116
0.69,0.8994274120464355,0.017796348002815397,0.7637592262130742,0.6648077115858836,0.062076215505913274
0.7,0.8994274120464355,0.017796348002815397,0.7636109057906009,0.6648077115858836,0.06026281208935611
0.71,0.8994274120464355,0.017796348002815397,0.7636535868568032,0.6648077115858836,0.05813403416557161
0.72,0.8995222892096615,0.01791821454506809,0.7636600840915351,0.6649020799268273,0.0564257555847569
0.73,0.8995222892096615,0.01791821454506809,0.7636483098646596,0.6649020799268273,0.05471747700394218
0.74,0.8995222892096615,0.01791821454506809,0.763890204795933,0.6649020799268273,0.05282522996057819
0.75,0.899612861680958,0.017801221354937013,0.764013021416365,0.664939078899078,0.05098554533508541
0.76,0.899612861680958,0.017801221354937013,0.7639285486817599,0.664939078899078,0.04922470433639947
0.77,0.8997058175405945,0.0177425474914273,0.7641396203796716,0.6650756365093199,0.04770039421813403
0.78,0.8997058175405945,0.0177425474914273,0.7642303845507504,0.6650756365093199,0.04636005256241787
0.79,0.8997058175405945,0.0177425474914273,0.7642308701987901,0.6650756365093199,0.04478318002628121
0.8,0.8997058175405945,0.0177425474914273,0.7642746978804753,0.6650756365093199,0.0438107752956636
0.81,0.8995938897313539,0.01761825848076613,0.764392120567966,0.6651122378165094,0.042260183968462546
0.82,0.8995938897313539,0.01761825848076613,0.7642657704181,0.6651122378165094,0.04052562417871222
0.83,0.8995938897313539,0.01761825848076613,0.7643286666020728,0.6651122378165094,0.039369250985545334
0.84,0.8995938897313539,0.01761825848076613,0.7643064163779214,0.6651122378165094,0.03802890932982917
0.85,0.8996839574202612,0.01738846903170249,0.7646349899336172,0.6652670765261868,0.03668856767411301
0.86,0.899573909758774,0.01727087575117188,0.7648749022703122,0.6654391195369395,0.03526938239159001
0.87,0.8997585067446278,0.017291085246075703,0.7650488265665083,0.6655895441665416,0.0340604467805519
0.88,0.8997585067446278,0.017291085246075703,0.7651088694249306,0.6655895441665416,0.032720105124835745
0.89,0.8998514626042645,0.01722985587308976,0.7651989703177978,0.6656339577682071,0.031038107752956637
0.9,0.8999446465220057,0.017232624863370734,0.7651942749671202,0.6657271978614472,0.029724047306176084
0.91,0.8999446465220057,0.017232624863370734,0.7652290186048003,0.6657271978614472,0.028173455978975033
0.92,0.9000353733390482,0.017266287301248955,0.7655249077389632,0.6658117049037007,0.02657030223390276
0.93,0.9000353733390482,0.017266287301248955,0.765549061273942,0.6658117049037007,0.024914586070959265
0.94,0.8999054581620349,0.01736782681909207,0.7653844216140105,0.6656895414319023,0.022943495400788435
0.95,0.899974504229365,0.017857620749503724,0.7656007517297415,0.6658652127097866,0.02128777923784494
0.96,0.8998342157550474,0.018108927005248063,0.7657467816952215,0.6658355732354783,0.019553219448094614
0.97,0.9002019381823309,0.017931344882650434,0.7660527807529226,0.666202000579082,0.01729303547963206
0.98,0.9001785922283629,0.01767594299502935,0.7662366367048132,0.6662645268542066,0.014612352168199737
0.99,0.9006284082832201,0.017303620025807313,0.7662230250281814,0.6665415924544098,0.010223390275952694
