feature,family,unique,std,zero_frac,gain_mean,gain_std,gain_frac_mean,gain_used_splits,split_count_mean,perm_lipid5_drop_mean,perm_lipid5_drop_std,perm_macro10_drop_mean,perm_binary_f1_drop_mean,mi_10class,mi_above_global95,mi_above_global99,mi_above_max95,mi_above_feature95,lgbm_stable_gain,perm_positive_1bp,perm_positive_5bp,any_supervised_signal
aromatic_aliphatic_ratio_shell3,v_sterol,56,0.45188865522347577,0.6087785005585123,1559.941308774054,212.76841625278493,0.004700691667088649,25,213.88,0.00044082374183922467,0.0048591037665766685,0.0007999315838630894,-0.0009043805934997983,0.13619216233377918,True,True,True,True,True,False,False,True
GLN,v_sterol,11,0.8037174981346686,0.6372297785662658,1524.5990579241513,203.4095234138316,0.0045942137558506735,25,196.92,-0.0033161330626341632,0.002539693869140369,0.0037268320355061447,-0.0014150790963945782,0.018999926849748494,True,True,True,True,True,False,False,True
cationic_count_shell2,v_sterol,6,0.8618682542712736,0.4295288783757146,1434.404157038331,319.88692730709005,0.00432245426525563,25,158.08,-0.006158699133995515,0.01730108064756891,-0.0027066148526525557,0.0011241349267939293,0.04449371301721916,True,True,True,True,True,False,False,True
polar_neutral_count_shell3,v_sterol,10,1.2689335629182856,0.5433339904067285,1393.702790546119,249.72969850378402,0.004199783337075611,25,132.64,0.00281556611651661,0.009240993537725973,0.0006944234809454608,-0.0006879433343704555,0.08204541087569428,True,True,True,True,True,True,False,True
bulky_hydrophobic_count_shell2,v_sterol,11,1.4012832106835642,0.25060779289046586,1380.0005043268204,331.52564656708654,0.004158513619133692,25,182.4,0.011977355150338643,0.006109434373990971,0.008204158205027956,0.00459797743325876,0.05824359974729543,True,True,True,True,True,True,True,True
aliphatic_count_shell3,v_sterol,14,2.1457275251979238,0.40600565083119783,1364.4019262082875,166.73066820040387,0.004111480394401621,25,191.08,0.003721033103385829,0.010287578333121179,0.002031207555554415,0.0028330053152320956,0.1716594033646648,True,True,True,True,True,True,False,True
tunnel_count,tunnel,63,6.780871736895679,0.2854326828306722,1291.6874711501598,201.28307918280592,0.003892353432792765,25,210.92,0.00615773106203521,0.00418025027488485,0.0028556998690779877,-0.0006345187627571303,0.03237440997342622,True,True,True,True,True,True,True,True
bulky_hydrophobic_count_shell3,v_sterol,13,1.6288653415900303,0.5022669032130889,1235.4572919031978,218.02074507235216,0.0037229571275239747,25,146.0,-0.012743014016702237,0.0022939900971111764,-0.006041262286911353,-0.004010170386842327,0.15937508478381668,True,True,True,True,True,False,False,True
ARG,v_sterol,12,1.1391495362127309,0.46928181877915764,1200.667857079804,217.28312688999716,0.0036180703598842727,25,171.4,0.016605737655569164,0.005216717330328179,0.011380277261801575,0.0032460803445258702,0.03580866322030474,True,True,True,True,True,True,True,True
cationic_count_shell3,v_sterol,7,0.8309971809479612,0.645706025363033,1194.7247897726297,231.60233940071365,0.0036001863423296815,25,118.12,-0.003123644795370484,0.005960406964037701,-0.00013871676326899786,0.00044751649523306903,0.036747491277156374,True,True,True,True,True,False,False,True
